"sigOBS","sigPRO","muEI1","muI1S1","muI1I2","muI2S2","muS2S1","rho","bT","q","c","delta","S1_0","S2_0","E_0","I1_0","I2_0","K_0","F_0"
0.1642,0.336,34.4394,7.1499,16.6146,0.3246,0.5259,0.6724,8.8816,0.0033,0.8573,0.02,0.837,0.0134,0.031,0.0847,0.0339,0.3863,0.8205
0.1519,0.4387,20.3707,16.1141,6.6307,1.8749,0.7676,0.9475,9.8594,0.9426,0.7753,0.02,0.7711,0.083,0.046,0.0266,0.0732,0.8875,0.1551
0.3429,0.3046,59.0849,3.3136,3.567,0.3173,0.8071,0.6245,8.7594,0.8269,0.8198,0.02,0.8539,0.0286,0.0666,0.0032,0.0477,0.515,0.1304
0.351,0.3639,56.2887,2.34,7.1459,0.7475,0.4508,0.1935,7.2706,0.4881,0.9906,0.02,0.831,0.0325,0.0605,0.0689,0.0071,0.8551,0.1682
0.0812,0.2591,53.772,2.2707,8.7748,2.4946,0.9755,0.7273,4.7653,0.0641,0.2118,0.02,0.8472,0.0141,0.0498,0.045,0.0438,0.945,0.3617
0.4124,0.0343,39.8721,10.7893,5.5611,2.9926,0.9846,0.2713,8.0659,0.2255,0.4967,0.02,0.773,0.0631,0.076,0.0464,0.0415,0.5677,0.87
0.1568,0.0803,34.6937,9.6038,10.4314,1.3623,0.2314,0.7843,2.7205,0.42,0.3928,0.02,0.813,0.0215,0.0728,0.0869,0.0058,0.2272,0.7012
0.006,0.1197,43.2827,2.537,16.3837,2.7772,0.5525,0.4156,9.1294,0.0518,0.0205,0.02,0.8687,0.0143,0.0445,0.0378,0.0348,0.3612,0.5985
0.2162,0.2683,47.0546,13.3042,15.683,2.4334,0.3813,0.516,7.2438,0.8677,0.6545,0.02,0.8489,0.057,0.0519,0.0112,0.031,0.6972,0.3968
0.4783,0.4991,23.3906,9.3462,16.1671,0.868,0.5816,0.3399,8.2255,0.3587,0.2444,0.02,0.8279,0.0042,0.087,0.0456,0.0353,0.9931,0.4365
0.212,0.1041,36.5697,7.5349,16.5775,0.6857,0.108,0.5822,2.0533,0.7408,0.1173,0.02,0.8691,0.0165,0.0318,0.0437,0.0389,0.6636,0.6169
0.2148,0.44,16.511,7.1566,3.6035,1.6987,0.766,0.1787,1.3047,0.4553,0.4528,0.02,0.8982,0.027,0.0105,0.0483,0.016,0.439,0.2057
0.0201,0.4423,36.2817,6.2622,6.7707,1.2393,0.7568,0.0047,6.7175,0.337,0.7681,0.02,0.8039,0.0539,0.0282,0.0384,0.0757,0.2165,0.2212
0.4488,0.1376,58.92,14.345,7.2329,2.7501,0.8124,0.2108,9.4786,0.1837,0.6845,0.02,0.8333,0.0148,0.0689,0.0085,0.0745,0.8542,0.72
0.1992,0.1653,51.1606,5.0968,15.9982,2.8716,0.3586,0.9495,9.9896,0.549,0.5375,0.02,0.743,0.0826,0.0706,0.0397,0.064,0.6387,0.5472
0.4564,0.1089,60.2882,6.3087,7.2157,2.396,0.2562,0.3686,1.4149,0.6731,0.4579,0.02,0.8134,0.0113,0.0772,0.025,0.0731,0.4238,0.448
0.1655,0.0188,49.8597,13.764,5.0108,2.8633,0.9668,0.11,2.616,0.8393,0.1231,0.02,0.8788,0.0707,0.0284,0.0202,0.002,0.2904,0.6012
0.2453,0.0397,27.4441,14.4268,14.911,0.1195,0.2093,0.6719,1.5018,0.8028,0.8977,0.02,0.8048,0.0451,0.0334,0.0674,0.0494,0.5298,0.3392
0.4208,0.0498,59.1532,9.952,6.1842,1.412,0.3849,0.6595,5.7508,0.2676,0.1192,0.02,0.8348,0.0333,0.0054,0.0799,0.0467,0.4097,0.3862
0.1482,0.3798,46.9554,11.8736,15.6206,0.5105,0.3702,0.5943,8.4042,0.2206,0.0769,0.02,0.8821,0.0353,0.0339,0.0486,1e-04,0.8461,0.0089
0.1007,0.3882,50.4756,11.9595,3.3953,0.3472,0.1311,0.9159,5.072,0.7169,0.1515,0.02,0.9404,0.0182,0.023,0.0034,0.015,0.1542,0.1115
0.4723,0.2201,16.2024,11.681,8.2402,1.1263,0.4189,0.9922,2.5348,0.6667,0.6553,0.02,0.8936,0.0136,0.0142,0.0408,0.0378,0.457,0.6135
0.4892,0.2559,49.3594,4.1559,12.6586,1.9487,0.9543,0.6876,7.3763,0.5866,0.5047,0.02,0.8421,0.0367,0.0015,0.0349,0.0848,0.8427,0.583
0.408,0.3975,57.7154,13.7403,9.5082,1.9892,0.5612,0.1416,9.3516,0.4424,0.683,0.02,0.7878,0.0621,0.0304,0.0472,0.0725,0.7375,0.2907
0.2991,0.4357,45.8999,4.6591,15.7142,0.5954,0.6283,0.15,7.8366,0.2421,0.5273,0.02,0.7982,0.057,0.0665,0.0257,0.0527,0.4247,0.94
0.2344,0.1552,49.1709,7.0681,10.0213,2.5907,0.7785,0.3852,6.9655,0.9523,0.0838,0.02,0.88,0.0207,0.0033,0.0274,0.0687,0.5114,0.9313
0.1229,0.1933,36.1883,10.1464,7.4137,2.0496,0.877,0.2411,1.1115,0.2973,0.5794,0.02,0.8002,0.0807,0.0235,0.0053,0.0903,0.8429,0.7431
0.1204,0.1499,36.6229,4.0719,9.096,1.7891,0.174,0.5385,2.9735,0.3613,0.5786,0.02,0.9143,0.0039,0.024,0.0427,0.0151,0.1465,0.0884
0.1979,0.2192,33.4897,2.8917,10.6222,2.9361,0.8545,0.6335,0.4634,0.968,0.9791,0.02,0.8013,0.0554,0.025,0.0533,0.065,0.874,0.3408
0.4562,0.269,20.1722,17.6334,5.0267,0.9327,0.9116,0.0562,5.0472,0.5651,0.792,0.02,0.7788,0.0802,0.0455,0.0436,0.0519,0.9413,0.647
0.4269,0.3318,41.6614,5.744,14.0956,2.9097,0.8287,0.6705,0.2869,0.4357,0.1383,0.02,0.7715,0.0623,0.057,0.067,0.0422,0.9059,0.001
0.1115,0.2797,23.145,5.1372,13.0691,0.6244,0.8997,0.0746,5.6566,0.0576,0.9691,0.02,0.8127,0.0858,0.0062,0.011,0.0843,0.8289,0.6398
0.4479,0.1262,58.4173,8.0824,13.7995,1.2409,0.8722,0.6526,1.6055,0.9961,0.1033,0.02,0.8603,0.0022,0.008,0.0613,0.0682,0.0328,0.0785
0.1994,0.2247,33.9305,9.2891,8.4407,0.6869,0.8705,0.5634,5.2993,0.1601,0.9251,0.02,0.7692,0.0473,0.0812,0.0419,0.0605,0.4179,0.1856
0.0818,0.1466,35.8394,5.4514,2.3233,0.5624,0.52,0.3351,4.3745,0.124,0.7327,0.02,0.8417,0.0366,0.0565,0.0171,0.0481,0.4612,0.1146
0.3285,0.1841,23.9606,7.245,8.6501,1.5582,0.4962,0.5614,5.7361,0.1766,0.3159,0.02,0.7527,0.0758,0.0235,0.0669,0.0811,0.9048,0.4595
0.1944,0.4651,21.3968,11.147,12.3089,0.6824,0.7298,0.9706,7.0616,0.6083,0.8634,0.02,0.7428,0.0883,0.056,0.0398,0.073,0.9923,0.8431
0.1193,0.1273,15.7092,3.9977,12.664,2.9371,0.4411,0.8555,1.4067,0.5161,0.8956,0.02,0.8417,0.0568,5e-04,0.0849,0.0161,0.654,0.9007
0.3862,0.4746,33.5178,10.7129,5.1397,0.2184,0.5677,0.2339,1.7177,0.9072,0.3243,0.02,0.8473,0.026,0.0693,0.0207,0.0367,0.7677,0.0571
0.0529,0.3606,27.3169,10.5858,17.2294,1.1542,0.494,0.6443,9.3528,0.3798,0.9952,0.02,0.8549,0.0451,0.0124,0.0194,0.0682,0.9478,0.1241
0.2574,0.3585,32.0237,7.349,12.3327,2.4293,0.6983,0.5239,3.9421,0.0553,0.2869,0.02,0.7835,0.0578,0.0491,0.0518,0.0577,0.8919,0.6642
0.3212,0.0805,58.6795,10.0141,8.0541,0.7886,0.3268,0.2769,9.3261,0.3971,0.4547,0.02,0.8206,0.0145,0.0702,0.0143,0.0804,0.2217,0.4282
0.1557,0.0343,25.545,17.2648,3.279,0.4726,0.1339,0.4065,7.9202,0.9287,0.9147,0.02,0.8548,3e-04,0.0195,0.0433,0.0822,0.6837,0.8219
0.3712,0.2731,22.0753,16.7659,10.3224,0.2842,0.6915,0.4827,2.3784,0.8396,0.9882,0.02,0.7365,0.0579,0.0668,0.0746,0.0642,0.4332,0.0464
0.0664,0.474,57.2421,3.0757,13.1353,0.6217,0.6745,0.5289,6.202,0.5455,0.419,0.02,0.7772,0.0181,0.0826,0.0689,0.0532,0.0046,0.2985
0.489,0.4385,58.7963,2.5551,13.1063,0.3109,0.9754,0.5149,6.3,0.2826,0.4943,0.02,0.7561,0.0104,0.0731,0.0809,0.0795,0.5391,0.1756
0.3034,0.1073,36.3859,16.3099,9.8819,1.9688,0.4751,0.9663,9.3053,0.6258,0.8486,0.02,0.8185,0.0343,0.0617,0.0064,0.0791,0.909,0.6468
0.1544,0.0053,35.149,11.6602,17.1481,2.671,0.3688,0.8176,5.6916,0.8362,0.5318,0.02,0.8433,0.0405,0.0267,0.0584,0.031,0.8083,0.8684
0.3647,0.2512,23.2408,16.8134,16.6616,2.4325,0.1514,0.9724,2.5311,0.5191,0.3876,0.02,0.8428,0.019,0.0508,0.0083,0.079,0.6713,0.4434
0.482,0.0021,40.9809,17.0934,17.3325,0.3006,0.9703,0.8188,5.0855,0.0606,0.8772,0.02,0.8026,0.0881,0.0292,0.0671,0.013,0.3589,0.8685
0.0493,0.0627,17.7462,17.4698,7.7753,0.5031,0.3329,0.2229,9.8847,0.5962,0.2535,0.02,0.8154,0.0072,0.0178,0.0964,0.0632,0.5015,0.8093
0.0546,0.136,33.5389,13.9204,2.5573,1.6918,0.089,0.1306,2.4123,0.4941,0.9108,0.02,0.8211,0.0089,0.0157,0.073,0.0813,0.917,0.2055
0.2137,0.2165,27.1409,10.7537,15.8113,0.3424,0.115,0.7392,5.2086,0.8823,0.8222,0.02,0.7857,0.0761,0.0376,0.0565,0.044,0.4833,0.0039
0.0423,0.3726,59.9118,8.1785,13.3036,0.7961,0.7211,0.2021,8.2238,0.7545,0.0697,0.02,0.7901,0.0094,0.0559,0.073,0.0716,0.4891,0.977
0.2563,0.0148,51.8494,10.1474,16.4474,0.1961,0.4819,0.151,4.2703,0.5129,0.849,0.02,0.8537,0.0148,0.0293,0.0433,0.0589,0.2497,0.8074
0.4471,0.2809,60.2042,17.2805,9.6998,1.8098,0.1593,0.3249,9.3772,0.5181,0.803,0.02,0.8155,0.0344,0.0592,0.0019,0.0889,0.7287,0.1306
0.0334,0.3612,49.5432,12.444,7.92,0.9992,0.4806,0.5923,9.9737,0.3174,0.0287,0.02,0.8413,0.0552,0.0414,0.0574,0.0047,0.1492,0.7911
0.3481,0.2632,58.3584,2.9485,12.4766,0.7,0.6937,0.9371,0.2547,0.59,0.6159,0.02,0.8765,0.0186,0.0406,0.0055,0.0587,0.497,0.226
0.2979,0.26,50.0684,4.8608,4.9653,2.6775,0.9405,0.2417,0.5097,0.9483,0.2891,0.02,0.8403,0.0256,0.0963,0.0353,0.0025,0.3507,0.1978
0.0374,0.0418,29.4772,12.912,17.1209,1.4995,0.9734,0.0769,5.7766,0.9465,0.7493,0.02,0.8716,0.0233,0.0144,0.0103,0.0804,0.8045,0.0371
0.4681,0.0426,33.4689,8.5265,17.3714,2.9155,0.0592,0.6153,3.0046,0.6226,0.432,0.02,0.8265,0.0421,0.0582,0.0718,0.0015,0.5408,0.546
0.0065,0.1055,31.9714,8.6912,11.4565,1.8255,0.4363,0.1761,2.5339,0.2759,0.9029,0.02,0.7856,0.0086,0.0784,0.0744,0.053,0.827,0.0585
0.2996,0.3301,49.2351,16.8315,4.5846,2.1607,0.5719,0.6832,9.1824,0.3015,0.4917,0.02,0.7416,0.0731,0.0715,0.0581,0.0558,0.4726,0.0271
0.2729,0.2942,25.9128,10.7619,7.6371,1.0964,0.2135,0.3247,9.4944,0.1995,0.0918,0.02,0.8438,0.0278,0.0289,0.0924,0.0071,0.4561,0.3874
0.322,0.3305,22.859,16.2179,7.367,1.4966,0.6381,0.0401,5.2766,0.3631,0.355,0.02,0.8719,0.0256,0.0667,0.0137,0.0221,0.1722,0.322
0.2,0.0562,31.0271,6.387,5.4715,0.9841,0.9134,0.2737,9.4806,0.5324,0.1779,0.02,0.8257,0.008,0.0794,0.0036,0.0834,0.2704,0.1767
0.3513,0.1249,29.6573,12.2675,11.965,1.301,0.529,0.9574,7.3377,0.2682,0.7866,0.02,0.7915,0.0564,0.0489,0.0373,0.0659,0.5922,0.2688
0.226,0.3106,24.8095,4.6222,10.7288,2.3697,0.1156,0.1942,9.047,0.9036,0.7544,0.02,0.8133,0.0676,0.0577,0.0401,0.0212,0.6985,0.7842
0.0748,0.1171,43.4943,6.5366,7.4089,1.8825,0.3591,0.9131,2.5666,0.6766,0.5351,0.02,0.9065,0.0503,0.0145,0.0203,0.0085,0.0673,0.8277
0.4275,0.4607,33.152,3.7951,7.381,2.0109,0.5698,0.5232,0.3025,0.6326,0.293,0.02,0.8067,0.0628,0.0716,0.0554,0.0035,0.7991,0.6341
0.4809,0.4236,54.417,10.3502,2.7628,0.4824,0.619,0.3338,6.078,0.1571,0.4123,0.02,0.7537,0.0597,0.0438,0.0848,0.058,0.3677,0.4345
0.1619,0.1921,24.6005,10.3072,10.8425,2.0786,0.9384,0.9608,9.0254,0.9139,0.4212,0.02,0.8304,0.0503,0.0563,0.0076,0.0555,0.4414,0.0897
0.1675,0.4219,39.1676,16.2145,16.707,2.5984,0.2189,0.8843,4.4462,0.0436,0.6205,0.02,0.7611,0.0515,0.0655,0.0524,0.0694,0.9534,0.884
0.2507,0.0096,38.2266,15.6375,13.7496,0.4384,0.1334,0.7333,1.5975,0.0186,0.8746,0.02,0.8122,0.0033,0.0747,0.0732,0.0366,0.6744,0.0638
0.0257,0.4924,34.2536,6.6328,7.4913,0.5144,0.5018,0.067,1.3741,0.7196,0.5891,0.02,0.7171,0.0781,0.0574,0.0796,0.0678,0.3586,0.7017
0.3946,0.2304,30.7787,3.3807,16.5693,1.4789,0.611,0.3499,4.0699,0.3276,0.239,0.02,0.8033,0.0696,0.0338,0.0704,0.0229,0.2305,0.8186
0.1913,0.0834,36.9434,14.2025,12.4359,1.0764,0.9747,0.3234,6.245,0.4696,0.6586,0.02,0.7784,0.0329,0.0492,0.0673,0.0723,0.3935,0.8668
0.0279,0.2877,33.4318,2.1935,7.6238,0.1654,0.8651,0.5617,8.6002,0.7656,0.2364,0.02,0.723,0.0686,0.0665,0.0653,0.0766,0.9287,0.7172
0.2045,0.4993,14.3823,7.7056,11.8996,2.8926,0.8308,0.4775,1.1067,0.292,0.2611,0.02,0.8003,0.025,0.0199,0.0813,0.0735,0.3834,0.9655
0.3267,0.2332,15.369,17.226,4.6628,0.2787,0.2483,0.4419,6.097,0.0494,0.7709,0.02,0.7703,0.0835,0.0636,0.0137,0.0688,0.9035,0.0312
0.0366,0.326,20.4905,10.2687,15.5009,0.9198,0.7477,0.3758,5.5211,0.1735,0.2202,0.02,0.7468,0.0828,0.0537,0.0301,0.0866,0.5877,0.3001
0.2129,0.0707,47.8903,5.5168,3.7189,2.8858,0.6943,0.0344,9.6195,0.9929,0.0534,0.02,0.7832,0.0665,0.0566,0.0261,0.0676,0.1652,0.2077
0.2636,0.2592,55.2917,6.6449,10.0554,2.7741,0.3709,0.3626,7.5694,0.2709,0.8279,0.02,0.723,0.0882,0.0532,0.0569,0.0787,0.7237,0.5148
0.231,0.3127,41.7313,14.1783,11.6555,1.6014,0.0549,0.7444,1.8363,0.3427,0.8331,0.02,0.7903,0.0637,0.0484,0.0287,0.0689,0.1197,0.3556
0.2448,0.2024,19.7165,10.8297,13.8063,2.6227,0.8244,0.1238,7.6525,0.0777,0.8665,0.02,0.8188,0.0291,0.0802,0.0496,0.0223,0.3626,0.7163
0.4506,0.0706,43.3507,14.9811,10.8284,1.1952,0.8807,0.3696,5.9713,0.7226,0.3132,0.02,0.8158,0.0334,0.0721,0.0708,0.0081,0.2947,0.0284
0.4956,0.3314,29.9825,5.7924,8.8779,1.7836,0.421,0.6554,2.7151,0.9392,0.0033,0.02,0.823,0.0816,0.0154,0.0195,0.0603,0.1797,0.8962
0.2972,0.2468,30.1147,6.4391,8.4236,0.9095,0.7678,0.588,1.7214,0.147,0.555,0.02,0.7425,0.0791,0.0781,0.0784,0.0219,0.7212,0.2659
0.1411,0.4949,34.5117,12.8844,7.9624,0.1186,0.3486,0.3874,3.3567,0.767,0.2834,0.02,0.8419,0.0221,0.0213,0.0638,0.051,0.7194,0.6019
0.0078,0.2736,44.8965,9.9816,9.1068,0.7728,0.3135,0.7612,0.1703,0.5176,0.3553,0.02,0.8274,0.0472,0.0487,0.0509,0.0257,0.0441,0.6933
0.144,0.2429,21.7454,9.4526,15.4459,1.4732,0.2079,0.582,1.1148,0.0717,0.4244,0.02,0.8126,0.0288,0.0414,0.0807,0.0366,0.4459,0.2634
0.3991,0.446,59.7774,17.0885,11.6659,0.909,0.2788,0.7976,1.4219,0.5674,0.3614,0.02,0.8487,0.0574,0.0072,0.0251,0.0616,0.8394,0.4148
0.3121,0.1649,55.8444,12.9474,2.4622,1.8489,0.6054,0.9819,6.3376,0.1839,0.5164,0.02,0.7823,0.0558,0.0406,0.0626,0.0586,0.0594,0.8888
0.025,0.1437,20.202,2.7604,10.2919,2.0467,0.1264,0.8318,7.6041,0.5953,0.4913,0.02,0.7709,0.0282,0.059,0.0706,0.0712,0.4831,0.556
0.089,0.354,19.2206,5.015,5.9255,1.247,0.6083,0.031,6.2201,0.4301,0.3362,0.02,0.8336,0.0125,0.0169,0.0615,0.0756,0.0112,0.6464
0.0781,0.2111,52.4238,15.229,13.0507,1.3219,0.001,0.4532,5.8072,0.8377,0.2952,0.02,0.8175,0.0164,0.0674,0.0428,0.0558,0.3066,0.7605
0.4801,0.4107,32.4629,11.0562,6.602,2.8773,0.689,0.9553,0.3403,0.3944,0.898,0.02,0.8126,0.0303,0.006,0.0766,0.0745,0.6118,0.7764
0.287,0.4045,32.765,5.3362,16.8066,0.8908,0.6095,0.3582,8.5217,0.2331,0.1609,0.02,0.9638,0.0118,0.0058,7e-04,0.0179,0.2679,0.246
0.2522,0.3625,53.3548,8.5623,11.4736,1.7742,0.1497,0.7795,7.6871,0.5446,0.9087,0.02,0.827,0.0389,0.0577,0.0109,0.0655,0.997,0.3477
0.4721,0.4512,48.6063,8.6516,3.7998,0.6001,0.9486,0.5765,2.8987,0.2799,0.4768,0.02,0.8716,0.0496,0.0203,0.0471,0.0114,0.006,0.0928
0.2546,0.3465,27.27,2.0436,14.2102,0.2193,0.0759,0.5296,5.9906,0.2242,0.0942,0.02,0.8817,0.0062,0.011,0.0306,0.0704,0.6724,0.4119
0.0798,0.3907,37.0337,14.8109,13.8202,0.894,0.9292,0.4137,4.8937,0.744,0.4927,0.02,0.9083,0.0061,0.0451,0.0057,0.0348,0.7621,0.3099
0.3221,0.2775,33.9237,7.7179,11.5813,1.5673,0.4082,0.3075,0.3159,0.9672,0.0378,0.02,0.7844,0.0808,0.0294,0.0588,0.0466,0.7839,0.917
0.1512,0.3484,28.2408,5.2116,12.0097,0.3706,0.4285,0.9931,7.8186,0.4446,0.2152,0.02,0.8588,0.0272,0.0352,0.0232,0.0556,0.062,0.0026
0.4895,0.245,56.1819,10.7955,11.3834,2.7154,0.7928,0.2416,6.0314,0.5716,0.9704,0.02,0.7935,0.0821,0.0099,0.0818,0.0328,0.2858,0.6477
0.3947,0.0778,46.268,10.2528,12.6229,0.4484,0.0161,0.3649,4.5374,0.7073,0.4313,0.02,0.8221,0.0451,0.0386,0.0491,0.0451,0.9089,0.0578
0.2892,0.2178,45.8976,8.1016,14.7061,1.339,0.9642,0.0335,1.675,0.5999,0.9499,0.02,0.8465,0.02,0.0099,0.0667,0.0569,0.0313,0.2226
0.3598,0.2776,59.895,4.3465,14.0246,0.556,0.4311,0.6745,1.4129,0.8166,0.0614,0.02,0.7452,0.0826,0.0809,0.0659,0.0253,0.8181,0.17
0.2867,0.3929,19.0015,3.9415,8.0967,2.8764,0.4394,0.8624,0.992,0.3863,0.9933,0.02,0.9108,0.0272,0.0505,0.0079,0.0036,0.6919,0.9345
0.1349,0.198,44.2802,7.0191,7.7131,1.0381,0.3842,0.2379,9.8764,0.5762,0.009,0.02,0.7913,0.0434,0.0575,0.0541,0.0537,0.3692,0.3734
0.3272,0.4724,15.1878,14.1895,9.2443,1.7475,0.3875,0.8928,4.6014,0.7219,0.972,0.02,0.8315,0.0362,0.0785,0.0275,0.0263,0.1153,0.9442
0.4386,0.42,38.4439,2.625,17.2462,0.7934,0.1301,0.571,8.8019,0.2891,0.997,0.02,0.7505,0.0578,0.0711,0.039,0.0817,0.1348,0.6384
0.1502,0.1301,57.6861,3.6224,14.6489,0.9063,0.7273,0.4967,4.3921,0.8117,0.6112,0.02,0.7365,0.0538,0.0792,0.0563,0.0743,0.6559,0.5405
0.2536,0.0052,27.6685,16.8796,14.3044,2.6918,0.7907,0.9308,5.373,0.0053,0.1109,0.02,0.7491,0.0831,0.0676,0.015,0.0852,0.9862,0.5565
0.0905,0.0291,34.4696,13.9776,8.9195,2.6922,0.0181,0.4099,6.2506,0.5066,0.5314,0.02,0.8904,0.0324,0.0087,0.0289,0.0396,0.9383,0.0422
0.3851,0.0077,31.3851,9.9316,6.2368,2.7203,0.5998,0.7915,2.5731,0.0469,0.0069,0.02,0.8076,0.0468,0.0509,0.0729,0.0217,0.5663,0.9009
0.3645,0.3333,44.6978,16.0383,4.6176,2.081,0.1328,0.0894,3.719,0.7217,0.4599,0.02,0.8178,0.053,0.0481,0.0768,0.0043,0.7721,0.0911
0.3664,0.2545,57.9013,4.4748,15.948,0.8571,0.0641,0.5735,7.7499,0.8991,0.4401,0.02,0.877,0.0276,0.0585,0.0115,0.0254,0.9408,0.7373
0.0272,0.1595,33.9378,2.0942,8.2827,0.7712,0.9404,0.5833,3.7958,0.4674,0.9938,0.02,0.8704,0.0086,0.0457,0.059,0.0163,0.6856,0.1708
0.2401,0.4055,25.8144,17.689,4.345,0.3316,0.7507,0.4517,7.5791,0.1597,0.3927,0.02,0.8071,0.0872,0.0084,0.0572,0.0402,0.0949,0.7529
0.339,0.1959,53.1758,2.1405,7.0583,2.8531,0.1122,0.2025,2.2648,0.1361,0.7372,0.02,0.816,0.0925,0.0114,0.0516,0.0285,0.5085,0.7846
0.0365,0.2558,40.0298,17.0412,4.0723,1.5202,0.8781,0.9895,6.5484,0.858,0.0494,0.02,0.8161,0.0318,0.0602,0.0213,0.0706,0.5294,0.6204
0.4636,0.0208,22.9464,16.4623,11.7043,0.3606,0.7841,0.2463,4.0655,0.1355,0.1654,0.02,0.8048,0.0189,0.0747,0.0222,0.0794,0.0764,0.1871
0.1728,0.4405,33.7841,12.5504,12.8479,2.5394,0.2431,0.0592,6.6106,0.811,0.7561,0.02,0.8568,0.0018,0.0412,0.0627,0.0374,0.057,0.9844
0.12,0.3365,39.7111,3.647,9.0469,1.002,0.0976,0.5807,7.449,0.7923,0.1756,0.02,0.8071,0.0235,0.0498,0.0253,0.0943,0.4429,0.8432
0.4557,0.4886,40.7272,16.4125,4.1157,2.2407,0.7135,0.2043,5.6085,0.7281,0.0159,0.02,0.8144,0.0558,0.0368,0.0135,0.0795,0.9693,0.1009
0.1377,0.4717,54.3877,14.6066,13.029,1.9618,0.144,0.1952,1.5036,0.93,0.2323,0.02,0.8495,0.0477,0.0146,0.0186,0.0696,0.3697,0.224
0.2686,0.1225,22.3145,13.6698,13.6026,1.9894,0.5447,0.2663,0.8515,0.2155,0.4395,0.02,0.7304,0.0646,0.0631,0.0577,0.0841,0.055,0.098
0.3004,0.4246,56.7059,12.5327,2.6313,2.7597,0.0899,0.1631,7.6909,0.2727,0.5999,0.02,0.7624,0.0632,0.0567,0.0545,0.0633,0.2216,0.9674
0.3532,0.294,20.6536,17.6982,11.8553,2.8968,0.3708,0.1052,2.5153,0.1585,0.0402,0.02,0.8339,0.0211,0.0528,0.0319,0.0604,0.8527,0.2272
0.2597,0.1786,56.0799,15.8572,3.0419,0.113,0.9194,0.5657,4.486,0.7583,0.1409,0.02,0.8462,0.0649,0.0613,0.0012,0.0264,0.335,0.0346
0.1896,0.4892,57.1152,5.6251,7.7141,0.3939,0.0761,0.2856,7.8588,0.0696,0.0725,0.02,0.8129,0.0619,0.0274,0.0618,0.0361,0.9995,0.1893
0.2221,0.1242,29.4577,5.08,13.6128,2.0916,0.6885,0.161,9.6249,0.9267,0.9579,0.02,0.736,0.076,0.0663,0.0661,0.0555,0.9796,0.2877
0.3188,0.3592,22.6845,15.546,5.8988,2.9916,0.6001,0.618,6.3239,0.6009,0.9137,0.02,0.8396,0.0321,0.035,0.0206,0.0727,0.7442,0.3176
0.1995,0.4843,37.3293,14.2228,12.4429,2.1192,0.8785,0.754,4.5748,0.6413,0.8518,0.02,0.7679,0.0709,0.0841,0.0238,0.0534,0.5021,0.15
